Code_geo,commune_name,resultat_election_prec,G_prec,C_prec,D_prec,ED_prec,residence_secondaire,pop_age_0_14_today,pop_age_15_64_today,pop_age_65plus_today,diploma_bac_today,diploma_sup_today,revenus_median_today,criminalite_prec,surface_agri_prec,chomage_rate_prec,proba_C,proba_ED,proba_G,proba_D,prediction
7329,Valgorge,G,119.0,51.0,9.0,74.0,52.78281006458669,33.8882942687116,248.1186050919644,132.993100639324,34.89734478865911,20.08055683035937,18120.0,21622.0,337.07,55.0,0.2,0.4,0.4,0.0,ED
7330,Vallon-Pont-d'Arc,ED,472.0,457.0,73.0,482.0,38.317234493115,365.786855547536,1289.247254095052,813.965890357412,42.43884334709779,22.66224149849537,21190.0,21622.0,247.54,400.0,0.2,0.4,0.4,0.0,ED
7331,Vals-les-Bains,ED,604.0,578.0,194.0,743.0,23.693701077827125,398.09021818829,1825.0237745638897,1255.88600724782,41.26564853197127,23.96715634776828,20010.0,21622.0,37.03,450.0,0.0,0.6,0.4,0.0,ED
7332,Valvignères,C,102.0,109.0,27.0,86.0,21.95026022204044,62.1148890837632,268.2960170449988,107.589093871238,56.59343717779494,33.11680637968999,21790.0,21622.0,610.3,30.0,0.6,0.0,0.4,0.0,C
7333,Vanosc,ED,163.0,172.0,51.0,185.0,13.99543595040983,145.296262081897,554.499103751083,234.204634167021,48.6900021577206,29.893359669425585,21530.0,21622.0,630.25,50.0,0.4,0.4,0.2,0.0,C
7334,Vans (Les),G,681.0,513.0,117.0,368.0,22.811674543020487,328.135127478398,1402.8037757416482,949.061096779954,42.99655613643175,26.62181341918955,,21622.0,348.41,335.0,0.2,0.2,0.6,0.0,G
7335,Vaudevant,C,39.0,51.0,9.0,37.0,31.306493812925844,19.9848137804827,122.11295561343049,75.9022306060868,45.412840815247975,27.83576352043046,21830.0,21622.0,499.23,20.0,0.6,0.2,0.2,0.0,C
7336,Vernon,G,59.0,57.0,14.0,36.0,37.43964981849912,26.6551151613795,113.11477494931832,83.2301098893012,42.92896548756931,26.432360994506848,20460.0,21622.0,34.61,25.0,0.4,0.2,0.4,0.0,C
7337,Vernosc-lès-Annonay,C,352.0,573.0,138.0,561.0,1.1423701311709629,500.153587917225,1631.4145924315878,538.431819651187,47.91843763123129,28.90172354486892,23840.0,21622.0,544.6,165.0,0.6,0.4,0.0,0.0,C
7338,Vernoux-en-Vivarais,C,336.0,352.0,100.0,344.0,13.566206336311945,330.0,1069.0,586.0,39.79460847240051,22.91399229781772,19810.0,21622.0,1789.11,125.0,0.2,0.4,0.4,0.0,ED
7339,Vesseaux,ED,377.0,403.0,83.0,414.0,11.068889356913909,382.129746080959,1233.963951995565,431.906301923476,55.692143761725454,34.74282107229755,22270.0,21622.0,154.64,180.0,0.2,0.8,0.0,0.0,ED
7340,Veyras,C,333.0,340.0,88.0,258.0,5.6582604222854656,217.295625101145,870.0170229774499,416.687351921405,53.36723957985454,32.92242927461361,25760.0,21622.0,57.88,70.0,0.6,0.4,0.0,0.0,C
7341,Villeneuve-de-Berg,ED,484.0,467.0,124.0,507.0,7.994264826035653,451.555631288037,1664.1112217741795,915.333146937783,40.564581777298194,24.46995972068301,21920.0,21622.0,1437.22,260.0,0.0,1.0,0.0,0.0,ED
7342,Villevocance,ED,144.0,195.0,67.0,288.0,3.4204337417796307,183.574646705158,696.699895970239,300.725457324603,35.91858077585634,18.59360590703952,22310.0,21622.0,22.71,65.0,0.0,1.0,0.0,0.0,ED
7343,Vinezac,G,317.0,233.0,59.0,265.0,17.721688238767534,260.951542277271,826.816678915284,300.231778807445,54.67151475834607,34.12118933174717,23910.0,21622.0,171.9,125.0,0.2,0.6,0.2,0.0,ED
