code_commune;commune_name;total_logements;residences_principales;residences_secondaires;taux_rsecocc_pct;classe_rsecocc
47029;Blanquefort-Sur-Briolance;379.893755666626;236.233378308136;99.8490566037734;26.283416116845963;Élevé (20-40%)
47030;Blaymont;151.482404952799;100.813397129186;28.3746443812233;18.731313640065768;Moyen (10-20%)
47031;Boé;2655.89695650264;2367.40203290512;17.2235775282101;0.6485032292401356;Très faible (0-5%)
47032;Bon-Encontre;3237.66401585516;2960.22088419315;54.3788538057549;1.6795706268302173;Très faible (0-5%)
47033;Boudy-De-Beauregard;214.0;172.0;17.0;7.943925233644859;Faible (5-10%)
47034;Bouglon;316.549610480141;275.809545135563;10.1850163361446;3.21751030452889;Très faible (0-5%)
47035;Bourgougnague;170.0;132.0;33.0;19.411764705882355;Moyen (10-20%)
47036;Bourlens;207.03964506638;165.652852613549;18.1698113207547;8.776005829670538;Faible (5-10%)
47037;Bournel;175.374762859812;119.316500441447;42.5627547991293;24.269600770980013;Élevé (20-40%)
47038;Bourran;314.570776131767;269.192624871263;20.1680672268908;6.411297157000631;Faible (5-10%)
47039;Boussès;37.6508807588075;18.2222222222222;11.2481707317072;29.874920599502747;Élevé (20-40%)
47040;Brax;953.884544680119;899.352000454003;9.56711302212555;1.0029634168497656;Très faible (0-5%)
47041;Bruch;380.0;300.0;23.0;6.052631578947368;Faible (5-10%)
47042;Brugnac;101.05756501182;78.5611111111111;16.0688956433637;15.900735033032143;Moyen (10-20%)
47043;Buzet-Sur-Baïse;724.0;578.0;28.0;3.867403314917127;Très faible (0-5%)
47044;Cahuzac;211.0;154.0;41.0;19.431279620853083;Moyen (10-20%)
47045;Calignac;252.58467200263;216.353819827735;16.562675279952;6.557276476293677;Faible (5-10%)
47046;Calonges;298.896316406577;255.470573832319;10.0990099009901;3.3787669324277694;Très faible (0-5%)
47047;Cambes;99.3508306822201;81.5609756097563;11.2356979405034;11.30911323372976;Moyen (10-20%)
47048;Cancon;784.273402278743;608.808120207931;49.9588650340507;6.3700827911405495;Faible (5-10%)
47049;Casseneuil;1317.0;1054.0;41.0;3.1131359149582387;Très faible (0-5%)
47050;Cassignas;80.6030534351145;59.6030534351145;12.0;14.887773463396156;Moyen (10-20%)
47051;Castelculier;1146.9011291796;1052.61090497553;22.4055978306706;1.9535771009919356;Très faible (0-5%)
