commune_code;commune_name;exprimes_nb;vote_C;vote_D;vote_ED;vote_G;resultat_election_2022
01245;Bohas-Meyriat-Rignat;594;212.0;44.0;189.0;149.0;Centre
01246;Mézériat;1187;421.0;94.0;435.0;237.0;Extrême-Droite
01247;Mijoux;175;77.0;26.0;43.0;29.0;Centre
01248;Mionnay;1491;541.0;109.0;539.0;302.0;Centre
01249;Miribel;5259;2001.0;413.0;1552.0;1293.0;Centre
01250;Misérieux;1107;436.0;96.0;355.0;220.0;Centre
01252;Mogneneins;497;196.0;40.0;189.0;72.0;Centre
01254;Montagnat;1331;588.0;107.0;405.0;231.0;Centre
01255;Montagnieu;338;113.0;26.0;136.0;63.0;Extrême-Droite
01257;Montanges;228;85.0;19.0;73.0;51.0;Centre
01258;Montceaux;732;254.0;61.0;310.0;107.0;Extrême-Droite
01259;Montcet;411;162.0;27.0;158.0;64.0;Centre
01260;Le Montellier;187;66.0;25.0;72.0;24.0;Extrême-Droite
01261;Monthieux;428;159.0;36.0;157.0;76.0;Centre
01262;Montluel;3241;1096.0;241.0;975.0;929.0;Centre
01263;Montmerle-sur-Saône;2290;857.0;178.0;853.0;402.0;Centre
01264;Montracol;633;203.0;56.0;261.0;113.0;Extrême-Droite
01265;Montréal-la-Cluse;1492;459.0;133.0;525.0;375.0;Extrême-Droite
01266;Montrevel-en-Bresse;1470;510.0;132.0;567.0;261.0;Extrême-Droite
01267;Nurieux-Volognat;593;187.0;64.0;230.0;112.0;Extrême-Droite
01268;Murs-et-Gélignieux;161;62.0;18.0;69.0;12.0;Extrême-Droite
01269;Nantua;1098;345.0;67.0;360.0;326.0;Extrême-Droite
01272;Neuville-les-Dames;862;300.0;76.0;336.0;150.0;Extrême-Droite
01273;Neuville-sur-Ain;987;298.0;86.0;387.0;216.0;Extrême-Droite
01274;Les Neyrolles;282;83.0;17.0;109.0;73.0;Extrême-Droite
01275;Neyron;1514;636.0;140.0;461.0;277.0;Centre
01276;Niévroz;984;310.0;84.0;411.0;179.0;Extrême-Droite
01277;Nivollet-Montgriffon;90;37.0;5.0;31.0;17.0;Centre
01279;Oncieu;67;18.0;12.0;21.0;16.0;Extrême-Droite
01280;Ordonnaz;109;40.0;15.0;37.0;17.0;Centre
01281;Ornex;1499;701.0;119.0;300.0;379.0;Centre
01282;Outriaz;148;49.0;14.0;50.0;35.0;Extrême-Droite
01283;Oyonnax;7248;2114.0;500.0;2248.0;2386.0;Gauche
01284;Ozan;442;125.0;25.0;195.0;97.0;Extrême-Droite
01285;Parcieux;827;352.0;54.0;259.0;162.0;Centre
01286;Parves et Nattages;645;230.0;38.0;175.0;202.0;Centre
01288;Péron;1109;481.0;79.0;299.0;250.0;Centre
01289;Péronnas;3547;1352.0;332.0;1003.0;860.0;Centre
01290;Pérouges;860;289.0;83.0;320.0;168.0;Extrême-Droite
01291;Perrex;540;223.0;49.0;196.0;72.0;Centre
01293;Peyriat;117;35.0;9.0;51.0;22.0;Extrême-Droite
01294;Peyrieu;522;183.0;41.0;176.0;122.0;Centre
01295;Peyzieux-sur-Saône;370;105.0;25.0;174.0;66.0;Extrême-Droite
01296;Pirajoux;225;59.0;21.0;101.0;44.0;Extrême-Droite
01297;Pizay;566;183.0;43.0;226.0;114.0;Extrême-Droite
01298;Plagne;95;38.0;4.0;40.0;13.0;Extrême-Droite
01299;Le Plantay;325;112.0;40.0;133.0;40.0;Extrême-Droite
01301;Polliat;1631;595.0;177.0;566.0;293.0;Centre
01302;Pollieu;117;42.0;15.0;27.0;33.0;Centre
01303;Poncin;953;263.0;78.0;400.0;212.0;Extrême-Droite
01304;Pont-d'Ain;1389;417.0;106.0;521.0;345.0;Extrême-Droite
01305;Pont-de-Vaux;1026;405.0;88.0;311.0;222.0;Centre
01306;Pont-de-Veyle;703;233.0;36.0;266.0;168.0;Extrême-Droite
01307;Port;444;163.0;32.0;151.0;98.0;Centre
01308;Pougny;283;114.0;19.0;76.0;74.0;Centre
01309;Pouillat;57;21.0;1.0;23.0;12.0;Extrême-Droite
01310;Prémeyzel;106;31.0;3.0;37.0;35.0;Extrême-Droite
01311;Prémillieu;40;10.0;3.0;21.0;6.0;Extrême-Droite
01313;Prévessin-Moëns;3119;1634.0;246.0;584.0;655.0;Centre
01314;Priay;1009;300.0;70.0;435.0;204.0;Extrême-Droite
01317;Ramasse;207;70.0;17.0;74.0;46.0;Extrême-Droite
01318;Rancé;460;159.0;54.0;169.0;78.0;Extrême-Droite
01319;Relevant;284;106.0;21.0;116.0;41.0;Extrême-Droite
01320;Replonges;2214;880.0;206.0;774.0;354.0;Centre
01321;Revonnas;567;215.0;39.0;171.0;142.0;Centre
01322;Reyrieux;2954;1259.0;205.0;901.0;589.0;Centre
01323;Reyssouze;554;194.0;45.0;215.0;100.0;Extrême-Droite
01325;Rignieux-le-Franc;679;216.0;48.0;271.0;144.0;Extrême-Droite
01328;Romans;317;123.0;37.0;120.0;37.0;Centre
01329;Rossillon;113;32.0;9.0;37.0;35.0;Extrême-Droite
01330;Ruffieu;133;47.0;10.0;29.0;47.0;Gauche
01331;Saint-Alban;115;51.0;13.0;26.0;25.0;Centre
01332;Saint-André-de-Bâgé;491;178.0;39.0;172.0;102.0;Centre
01333;Saint-André-de-Corcy;2094;697.0;155.0;798.0;444.0;Extrême-Droite
01334;Saint-André-d'Huiriat;385;117.0;31.0;171.0;66.0;Extrême-Droite
01335;Saint-André-le-Bouchoux;234;77.0;20.0;92.0;45.0;Extrême-Droite
01336;Saint-André-sur-Vieux-Jonc;704;270.0;40.0;264.0;130.0;Centre
01337;Saint-Bénigne;746;303.0;43.0;273.0;127.0;Centre
01338;Groslée-Saint-Benoît;735;247.0;52.0;297.0;139.0;Extrême-Droite
01339;Saint-Bernard;1070;480.0;109.0;320.0;161.0;Centre
01342;Sainte-Croix;343;118.0;44.0;119.0;62.0;Extrême-Droite
01343;Saint-Cyr-sur-Menthon;1064;373.0;100.0;416.0;175.0;Extrême-Droite
01344;Saint-Denis-lès-Bourg;3548;1417.0;279.0;1010.0;842.0;Centre
01345;Saint-Denis-en-Bugey;1220;353.0;75.0;514.0;278.0;Extrême-Droite
01346;Saint-Didier-d'Aussiat;500;183.0;67.0;174.0;76.0;Centre
01347;Saint-Didier-de-Formans;1446;599.0;122.0;451.0;274.0;Centre
01348;Saint-Didier-sur-Chalaronne;1634;570.0;141.0;685.0;238.0;Extrême-Droite
01349;Saint-Eloi;323;124.0;25.0;119.0;55.0;Centre
01350;Saint-Etienne-du-Bois;1527;562.0;159.0;511.0;295.0;Centre
01351;Saint-Etienne-sur-Chalaronne;951;295.0;81.0;438.0;137.0;Extrême-Droite
01352;Saint-Etienne-sur-Reyssouze;326;102.0;31.0;135.0;58.0;Extrême-Droite
01353;Sainte-Euphémie;946;384.0;54.0;331.0;177.0;Centre
01354;Saint-Genis-Pouilly;3658;1465.0;234.0;795.0;1164.0;Centre
01355;Saint-Genis-sur-Menthon;301;111.0;31.0;113.0;46.0;Extrême-Droite
01356;Saint-Georges-sur-Renon;147;56.0;11.0;52.0;28.0;Centre
01357;Saint-Germain-de-Joux;191;78.0;9.0;66.0;38.0;Centre
01358;Saint-Germain-les-Paroisses;275;73.0;33.0;107.0;62.0;Extrême-Droite
01359;Saint-Germain-sur-Renon;165;57.0;17.0;79.0;12.0;Extrême-Droite
01360;Saint-Jean-de-Gonville;853;360.0;80.0;255.0;158.0;Centre
01361;Saint-Jean-de-Niost;1080;379.0;96.0;428.0;177.0;Extrême-Droite
01362;Saint-Jean-de-Thurigneux;493;188.0;41.0;207.0;57.0;Extrême-Droite
01363;Saint-Jean-le-Vieux;1109;373.0;92.0;410.0;234.0;Extrême-Droite
01364;Saint-Jean-sur-Reyssouze;418;127.0;40.0;188.0;63.0;Extrême-Droite
01365;Saint-Jean-sur-Veyle;662;258.0;51.0;231.0;122.0;Centre
01366;Sainte-Julie;628;195.0;31.0;256.0;146.0;Extrême-Droite
01367;Saint-Julien-sur-Reyssouze;373;100.0;38.0;159.0;76.0;Extrême-Droite
01368;Saint-Julien-sur-Veyle;484;176.0;47.0;183.0;78.0;Extrême-Droite
01369;Saint-Just;585;230.0;51.0;164.0;140.0;Centre
01370;Saint-Laurent-sur-Saône;702;228.0;50.0;207.0;217.0;Centre
01371;Saint-Marcel;747;250.0;51.0;286.0;160.0;Extrême-Droite
