Code_geo;commune_name;resultat_election_2017;exprimes_nb_2017;G_2017;C_2017;D_2017;ED_2017;resultat_election_2022;exprimes_nb_2022;G_2022;C_2022;D_2022;ED_2022;residence_secondaire;pop_age_0_14_today;pop_age_15_64_today;pop_age_65plus_today;diploma_bac_today;diploma_sup_today;revenus_median_today;criminalite_today;criminalite_old1;criminalite_old2;surface_agri_today;surface_agri_old1;chomage_rate_today;chomage_rate_old1;chomage_rate_old2
38239;Moirans;G;4306;1376.0;1064.0;945.0;921.0;C;4394.0;1385.0;1514.0;268.0;1227.0;1.28497433548013;1357.9459928758529;4644.036496867995;1571.0175102561711;50.52840392139439;33.782942541049;24720.0;77275.0;61456.0;67029.0;920.66;820.08;555.0;605.0;545.0
38240;Moissieu-sur-Dolon;ED;436;108.0;106.0;64.0;158.0;ED;453.0;115.0;146.0;21.0;171.0;5.352923340227108;138.182640623693;428.512874534267;154.304484842041;43.29915316509056;22.29315094290713;23200.0;77275.0;61456.0;67029.0;668.85;798.65;30.0;45.0;40.0
38241;Monestier-d'Ambel;G;26;11.0;3.0;7.0;5.0;C;17.0;1.0;8.0;3.0;5.0;63.22946175637374;0.0;7.875;6.125;35.714285714285715;14.285714285714285;23230.0;77275.0;61456.0;67029.0;517.9;530.4300000000001;0.0;0.0;0.0
38242;Monestier-de-Clermont;ED;749;201.0;161.0;183.0;204.0;C;774.0;221.0;248.0;63.0;242.0;8.172195583182921;289.309417463795;906.2799722929832;267.410610243222;55.45233442681745;34.33186413026821;23980.0;77275.0;61456.0;67029.0;43.55;179.32;80.0;95.0;65.0
38243;Le Monestier-du-Percy;G;204;78.0;38.0;47.0;41.0;G;206.0;96.0;64.0;13.0;33.0;29.791383950816297;50.6886652669276;133.5581818162433;71.7531529168291;68.99128268610112;52.94766043446403;19480.0;77275.0;61456.0;67029.0;450.12;446.78;20.0;20.0;20.0
38244;Monsteroux-Milieu;ED;487;115.0;95.0;123.0;154.0;ED;483.0;99.0;139.0;41.0;204.0;2.60723555850684;155.351455520144;495.73248667703;130.916057802826;54.24347826489823;31.634957700997585;25810.0;77275.0;61456.0;67029.0;479.97;392.33;35.0;40.0;35.0
38245;Montagne;ED;169;52.0;29.0;34.0;54.0;G;179.0;58.0;45.0;18.0;58.0;7.766586689268315;42.117758825674;162.63633769240806;68.2459034819169;49.88905370860788;30.78013563740328;23230.0;77275.0;61456.0;67029.0;652.52;529.85;15.0;30.0;20.0
38246;Montagnieu;ED;631;109.0;109.0;178.0;235.0;ED;711.0;145.0;191.0;59.0;316.0;3.418607995915559;253.532479941763;747.928954881691;169.538565176546;55.41743699908018;33.296740421813176;22080.0;77275.0;61456.0;67029.0;728.85;751.48;50.0;65.0;55.0
38247;Montalieu-Vercieu;ED;1420;358.0;268.0;293.0;501.0;ED;1449.0;310.0;378.0;82.0;679.0;4.107734358193163;805.358265114782;2152.0986010705133;550.543133814705;38.23015982183279;19.32586844695783;21780.0;77275.0;61456.0;67029.0;457.91;405.7;255.0;300.0;250.0
38248;Montaud;G;337;118.0;97.0;85.0;37.0;C;365.0;105.0;181.0;19.0;60.0;7.058384049898818;101.87891470576;337.8036539776839;89.3174313165551;66.29086445331129;51.02642930901723;26620.0;77275.0;61456.0;67029.0;285.93;228.79;25.0;20.0;20.0
38249;Montbonnot-Saint-Martin;D;3318;614.0;1177.0;1200.0;327.0;C;3516.0;626.0;1833.0;323.0;734.0;1.1633393761887902;897.908685373928;3448.0102893358617;1208.08102529021;76.06605785381464;61.89582558693263;33450.0;77275.0;61456.0;67029.0;171.44;145.8;280.0;275.0;260.0
38250;Montcarra;D;334;91.0;63.0;99.0;81.0;ED;362.0;70.0;123.0;29.0;140.0;7.51465523880502;163.201686435178;373.7851421624857;69.0131714023363;59.46955656710754;36.358924874667885;24670.0;77275.0;61456.0;67029.0;181.14;271.67;30.0;30.0;30.0
38252;Montchaboud;C;240;60.0;81.0;58.0;41.0;C;230.0;64.0;98.0;12.0;56.0;1.3847733827731032;55.1408662438558;186.26533363190225;105.593800124242;71.9441327227208;52.75509364191029;29550.0;77275.0;61456.0;67029.0;517.9;530.4300000000001;10.0;10.0;10.0
38253;Les Deux-Alpes;D;1215;268.0;258.0;501.0;188.0;C;1193.0;239.0;506.0;83.0;365.0;84.17131696275048;316.794028210363;1321.027162117207;282.17880967243;61.34150881983877;35.73216085095752;23230.0;77275.0;61456.0;67029.0;323.65;114.27;310.0;370.0;385.0
38254;Monteynard;ED;344;91.0;86.0;57.0;110.0;ED;328.0;79.0;104.0;17.0;128.0;6.790980616602764;97.1866632813296;327.72055716660464;75.0927795520657;57.72125906798083;37.84118700677704;23970.0;77275.0;61456.0;67029.0;110.46;54.74;30.0;40.0;30.0
38255;Montfalcon;D;87;23.0;13.0;27.0;24.0;ED;85.0;25.0;17.0;14.0;29.0;15.526423817197726;25.7874015748033;76.3307086614181;28.8818897637796;52.5252525252525;27.27272727272722;22190.0;77275.0;61456.0;67029.0;362.61;385.71;15.0;5.0;5.0
38256;Montferrat;D;963;240.0;201.0;272.0;250.0;C;1031.0;249.0;346.0;95.0;341.0;10.002119683163585;362.691054786947;1090.650038329849;385.658906883204;50.44387601110167;30.69051786197446;23700.0;77275.0;61456.0;67029.0;748.47;731.96;125.0;130.0;125.0
